Ce;T;Material I;Material II;Qe
0;298;6.65;444.435;0
7.88;298;6.65;444.435;8.48
16.4;298;6.65;444.435;14.4
25.9;298;6.65;444.435;16.4
35.5;298;6.65;444.435;18
46.2;298;6.65;444.435;15.2
57.3;298;6.65;444.435;10.8
0;308;6.65;444.435;0
7.06;308;6.65;444.435;11.76
16.1;308;6.65;444.435;15.6
25.5;308;6.65;444.435;18
35.03;308;6.65;444.435;19.88
46.06;308;6.65;444.435;15.76
57.1;308;6.65;444.435;11.6
0;318;6.65;444.435;0
6.38;318;6.65;444.435;14.48
15.5;318;6.65;444.435;18
25.02;318;6.65;444.435;19.92
34.28;318;6.65;444.435;22.88
45.4;318;6.65;444.435;18.4
56.29;318;6.65;444.435;14.84
0;298;6.65;461.381;0
7.44;298;6.65;461.381;50.24
20.34;298;6.65;461.381;78.64
36.66;298;6.65;461.381;93.36
59.88;298;6.65;461.381;80.48
80.9;298;6.65;461.381;76.4
102.69;298;6.65;461.381;69.24
0;308;6.65;461.381;0
7.01;308;6.65;461.381;51.96
20.05;308;6.65;461.381;79.8
36.03;308;6.65;461.381;95.88
59.02;308;6.65;461.381;83.92
80.1;308;6.65;461.381;79.6
102.02;308;6.65;461.381;71.92
0;318;6.65;461.381;0
6.5;318;6.65;461.381;54
19.28;318;6.65;461.381;82.88
35.4;318;6.65;461.381;98.4
58.31;318;6.65;461.381;86.76
79.56;318;6.65;461.381;81.76
100.7;318;6.65;461.381;77.2
0;298;8.4;444.435;0
8.61;298;8.4;444.435;5.56
17.7;298;8.4;444.435;9.2
27.08;298;8.4;444.435;11.68
36.8;298;8.4;444.435;12.8
47.21;298;8.4;444.435;11.16
58.5;298;8.4;444.435;6
0;308;8.4;444.435;0
8.3;308;8.4;444.435;6.8
17.4;308;8.4;444.435;10.4
26.9;308;8.4;444.435;12.4
36.3;308;8.4;444.435;14.8
47.03;308;8.4;444.435;11.88
58.2;308;8.4;444.435;719.999.999.999.999
0;318;8.4;444.435;0
8.04;318;8.4;444.435;7.84
17.06;318;8.4;444.435;11.76
26.18;318;8.4;444.435;15.28
36.02;318;8.4;444.435;15.92
46.7;318;8.4;444.435;13.2
57.8;318;8.4;444.435;880.000.000.000.001
0;298;8.4;461.381;0
8.56;298;8.4;461.381;45.76
23.05;298;8.4;461.381;67.8
38.8;298;8.4;461.381;84.8
56.02;298;8.4;461.381;95.92
75.1;298;8.4;461.381;99.6
95.08;298;8.4;461.381;99.68
0;308;8.4;461.381;0
8.02;308;8.4;461.381;47.92
22.33;308;8.4;461.381;70.68
38.1;308;8.4;461.381;87.6
55.2;308;8.4;461.381;99.2
74.46;308;8.4;461.381;102.16
94.23;308;8.4;461.381;103.08
0;318;8.4;461.381;0
7.16;318;8.4;461.381;51.36
21.67;318;8.4;461.381;73.32
37.34;318;8.4;461.381;90.64
54.5;318;8.4;461.381;102
74.02;318;8.4;461.381;103.92
93.41;318;8.4;461.381;106.36
